alcoholic hydroxyl ,phenolic hydroxyl ,sulfhydryl,aliphatic amine,aromatic amine,carboxy ,pyridine ,imidazole,pyrrole ,triazole ,cyano,phosphate ,alkynyl,jC1
0,0,0,1,0,1,0,0,0,0,0,0,0,6.018881119
0,0,0,1,0,1,0,0,0,0,0,0,0,3.658897059
0,0,0,0,0,0,1,0,0,0,0,0,0,4.7168
0,0,0,1,0,1,0,0,0,0,0,0,0,6.258603239
0,1,0,0,0,1,0,0,0,0,0,0,0,5.134222222
0,0,1,1,0,1,0,0,0,0,0,0,0,2.985435897
0,0,0,1,0,1,0,0,0,0,0,0,0,8.533
0,0,0,1,0,1,0,0,0,0,0,0,0,4.456728889
0,0,0,1,0,1,0,0,0,0,0,0,0,5.332616667
0,0,0,1,0,1,0,0,0,0,0,0,0,10.18768116
0,0,1,1,0,1,0,0,0,0,0,0,0,5.317666667
0,0,0,1,0,1,0,0,1,0,0,0,0,6.795987654
0,0,0,1,0,1,0,0,0,0,0,0,0,5.282016211
0,0,0,0,0,1,1,0,0,0,0,0,0,7.204266667
1,0,0,1,0,0,0,0,0,0,0,0,0,2.199833333
0,0,1,0,0,0,1,0,0,0,0,0,0,4.639166667
0,0,0,0,0,1,0,0,0,1,0,0,0,6.125303922
0,0,0,0,0,1,1,0,0,0,0,0,0,7.136585859
0,0,0,0,0,0,0,0,0,1,0,0,0,1.942306667
0,0,0,0,0,1,1,0,0,0,0,0,0,5.454814815
0,0,0,1,0,0,1,0,0,0,0,0,0,4.191875
0,0,0,0,0,1,1,0,0,0,0,0,0,3.456190476
0,0,0,1,0,0,0,0,0,1,0,0,0,5.166689977
0,0,0,0,0,0,1,0,0,0,0,0,0,1.41154321
0,0,0,0,0,0,1,0,0,0,0,1,0,3.484241379
0,0,0,0,0,0,1,0,0,0,0,0,0,2.261825641
0,0,0,0,0,0,1,0,0,0,0,0,0,2.46025
0,0,0,0,1,0,1,1,0,0,0,0,0,2.7594
1,0,0,0,0,0,1,0,0,0,0,0,0,2.529057143
1,0,0,0,0,0,1,0,0,0,0,0,0,3.540022222
0,0,0,0,0,0,1,0,0,0,0,0,0,3.350133333
0,1,0,0,0,0,1,0,0,0,0,0,0,3.023780488
0,0,0,0,0,1,1,0,0,0,0,0,0,5.729032258
0,0,0,0,0,0,1,0,0,0,0,0,0,3.433823529
0,0,0,0,0,0,1,0,0,0,0,0,0,4.978384615
0,0,0,0,0,0,0,1,0,0,0,0,0,4.157214286
0,0,0,0,0,0,0,0,1,0,0,0,0,5.007388889
0,0,0,0,0,0,0,1,0,0,0,0,0,5.183111111
0,0,0,1,0,0,1,0,0,0,0,0,0,4.721117647
0,0,0,0,0,0,0,0,0,0,0,0,0,5.202424242
0,0,0,1,0,0,0,0,0,0,0,0,0,4.469411765
0,0,0,0,0,0,0,0,1,0,0,0,0,5.291166667
